N,Z,residual(keV)
35,29,-954.4179999999978
34,30,-1294.0180000000037
33,31,-1062.8269999999975
32,32,-1235.502999999997
40,25,322.6560000000027
39,26,722.0979999999981
38,27,464.79499999999825
37,28,-85.79599999999482
36,29,-803.676999999996
35,30,-872.0239999999976
34,31,-917.4859999999971
33,32,-958.2229999999981
32,33,-1037.0559999999969
41,25,-140.39199999999983
40,26,1002.1529999999984
39,27,491.45900000000256
38,28,-96.29300000000512
37,29,-588.2890000000043
36,30,-759.2290000000066
35,31,-583.7289999999994
34,32,-927.0409999999974
33,33,-2015.0840000000026
41,26,831.5840000000026
40,27,868.2169999999969
39,28,-252.68800000000192
38,29,-409.5529999999999
37,30,-400.37600000000384
36,31,-689.1560000000027
35,32,-373.71800000000076
34,33,-767.2320000000036
33,34,-740.2940000000017
41,27,1027.4089999999997
40,28,336.1779999999999
39,29,-137.04299999999785
38,30,-207.153999999995
37,31,-536.0540000000037
36,32,-398.79899999999907
35,33,-334.52700000000186
34,34,-999.4490000000005
42,27,944.5529999999999
41,28,471.3439999999973
40,29,83.778999999995
39,30,192.09399999999732
38,31,-447.820000000007
37,32,-160.67399999999907
36,33,-202.18099999999686
35,34,-234.71399999999994
34,35,-109.4780000000028
43,27,845.0369999999966
42,28,856.1319999999978
41,29,523.6189999999988
40,30,485.25199999999313
39,31,-370.1499999999942
38,32,-382.0359999999928
37,33,86.02700000000186
36,34,-319.90000000000146
35,35,-895.6270000000004
44,27,1010.0699999999997
43,28,773.7640000000029
42,29,548.8660000000018
41,30,691.2140000000072
40,31,190.87300000000687
39,32,393.3429999999935
38,33,-63.25699999999779
37,34,93.48500000000058
36,35,137.57400000000052
35,36,-107.21100000000297
44,28,893.9320000000007
43,29,616.9939999999988
42,30,584.5050000000047
41,31,441.71600000000035
40,32,274.0899999999965
39,33,320.19199999999546
38,34,-178.1889999999985
37,35,208.25
36,36,-180.58200000000215
45,28,831.8410000000003
44,29,552.5550000000003
43,30,236.58900000000722
42,31,200.65700000000652
41,32,582.4679999999935
40,33,457.2430000000022
39,34,382.60400000000664
38,35,114.21300000000338
37,36,208.24199999999837
36,37,178.38900000000285
45,29,103.78699999999662
44,30,143.27999999999884
43,31,-99.62600000000384
42,32,297.54899999999907
41,33,709.9360000000015
40,34,96.7899999999936
39,35,371.83899999999994
38,36,48.15600000000268
37,37,-1056.0160000000033
46,29,229.78100000000268
45,30,371.08400000000256
44,31,-130.63899999999558
43,32,273.02700000000186
42,33,535.7970000000059
41,34,480.5109999999986
40,35,332.9799999999959
39,36,306.36799999999494
38,37,211.2980000000025
37,38,-8.701999999997497
47,29,128.3729999999996
46,30,86.97600000000239
45,31,-146.64800000000105
44,32,-172.89800000000105
43,33,708.6159999999945
42,34,348.04099999999744
41,35,330.92200000000594
40,36,146.2939999999944
39,37,170.91100000000006
38,38,322.3550000000032
48,29,437.17199999999866
47,30,250.79699999999866
46,31,-122.35199999999895
45,32,-132.86999999999534
44,33,13.665999999997439
43,34,680.502999999997
42,35,555.1820000000007
41,36,310.54899999999907
40,37,569.5000000000073
39,38,256.5570000000007
49,29,580.525999999998
48,30,316.75800000000163
47,31,-374.0849999999991
46,32,-92.05800000000454
45,33,43.029999999998836
44,34,74.04799999999523
43,35,897.8319999999949
42,36,111.71700000000419
41,37,514.573000000004
40,38,546.0509999999995
50,29,341.96100000000297
49,30,677.6979999999967
48,31,-78.3550000000032
47,32,-207.17999999999302
46,33,163.9189999999944
45,34,302.53399999999965
44,35,261.93300000000454
43,36,577.7100000000064
42,37,507.2219999999943
41,38,410.33600000000297
40,39,407.0650000000023
50,30,751.3810000000012
49,31,336.3249999999971
48,32,-195.3139999999985
47,33,25.39900000000489
46,34,270.5130000000063
45,35,590.9750000000058
44,36,386.54499999999825
43,37,524.5240000000049
42,38,78.53299999999581
41,39,41.838000000003376
51,30,230.3309999999983
50,31,332.03800000000047
49,32,-1.695000000006985
48,33,-103.31399999999849
47,34,290.98099999999977
46,35,482.94899999999325
45,36,653.8010000000068
44,37,723.2960000000021
43,38,161.86599999999453
42,39,247.0810000000056
41,40,105.58200000000215
52,30,16.040000000000873
51,31,-150.72499999999854
50,32,264.9250000000029
49,33,154.57300000000396
48,34,166.10499999999593
47,35,411.32300000000396
46,36,618.2049100000004
45,37,1112.1870000000054
44,38,219.93799999999464
43,39,75.9030000000057
42,40,-384.0630000000019
52,31,-367.1290000000008
51,32,-496.44200000000274
50,33,-149.3310000000056
49,34,339.4569999999949
48,35,256.278999999995
47,36,829.3570000000036
46,37,1219.3610000000044
45,38,652.3840000000055
44,39,464.32799999999406
43,40,18.34100000000035
42,41,-402.9100000000035
53,31,-884.1359999999986
52,32,-458.4349999999977
51,33,-473.5680000000066
50,34,-147.73099999999977
49,35,346.9060000000027
48,36,700.6547299999947
47,37,951.0249999999942
46,38,820.4199999999983
45,39,855.5610000000015
44,40,-51.69199999999546
43,41,-233.84199999999691
54,31,-814.0590000000011
53,32,-1213.4270000000033
52,33,-429.15200000000186
51,34,-703.6450000000041
50,35,-15.478000000002794
49,36,609.6589999999997
48,37,952.6593500000017
47,38,1076.7100000000064
46,39,1117.869000000006
45,40,404.8040000000037
44,41,280.31600000000617
43,42,-69.76000000000204
54,32,-339.9270000000033
53,33,-1152.1500000000015
52,34,-593.1750000000029
51,35,-232.2609999999986
50,36,164.3240700000024
49,37,202.99700000000303
48,38,1026.9002299999993
47,39,1176.8999999999942
46,40,680.976999999999
45,41,385.9389999999985
44,42,-200.92700000000332
54,33,-1007.913999999997
53,34,-1346.1330000000016
52,35,-351.6849999999977
51,36,-309.5310000000027
50,37,-167.80199999999604
49,38,599.923569999999
48,39,1041.6129999999976
47,40,992.8530000000028
46,41,725.5069999999978
45,42,155.18300000000454
44,43,99.94799999999668
54,34,-1194.2030000000013
53,35,-1355.9670000000042
52,36,-451.29499999999825
51,37,-399.0040000000008
50,38,-31.628760000006878
49,39,500.971000000005
48,40,1131.1260000000038
47,41,938.445000000007
46,42,253.44700000000012
45,43,-130.30099999999948
55,34,-1012.398000000001
54,35,-1544.2709999999934
53,36,-1415.7949999999983
52,37,-542.3990000000049
51,38,-479.025999999998
50,39,-311.2020000000048
49,40,902.025999999998
48,41,1074.2449999999953
47,42,615.0559999999969
46,43,325.1429999999964
45,44,-939.4239999999991
56,34,-530.2229999999981
55,35,-1110.3059999999969
54,36,-1579.2590000000055
53,37,-1555.573000000004
52,38,-430.945000000007
51,39,-466.9119999999966
50,40,377.45299999999406
49,41,818.4689999999973
48,42,877.4860000000044
47,43,445.3040000000037
46,44,-23.800999999999476
57,34,-790.1299999999974
56,35,-787.3009999999995
55,36,-1443.974000000002
54,37,-1535.048999999999
53,38,-1241.949999999997
52,39,-391.3209999999963
51,40,24.40799999999581
50,41,451.9719999999943
49,42,791.1659999999974
48,43,783.3429999999935
47,44,290.1670000000013
57,35,-622.8119999999981
56,36,-1039.328999999998
55,37,-1852.449999999997
54,38,-1507.3709999999992
53,39,-1186.494000000006
52,40,230.9759999999951
51,41,136.7100000000064
50,42,651.4130000000005
49,43,604.2970000000059
48,44,668.7890000000043
47,45,-129.09500000000116
46,46,-329.09500000000116
58,35,-330.2350000000006
57,36,-946.0020000000004
56,37,-1289.8999999999942
55,38,-2005.8439999999973
54,39,-1627.1549999999988
53,40,-662.0280000000057
52,41,357.1600000000035
51,42,412.9210000000021
50,43,543.8840000000055
49,44,663.2770000000019
48,45,598.1900000000023
47,46,88.19000000000233
58,36,-497.77999999999884
57,37,-942.7909999999974
56,38,-1635.721000000005
55,39,-2301.472999999998
54,40,-1189.3319999999949
53,41,-249.06299999999464
52,42,525.9210000000021
51,43,421.6680000000051
50,44,696.398000000001
49,45,402.37699999999313
48,46,387.7189999999973
59,36,101.08000000000175
58,37,-210.3070000000007
57,38,-1437.2839999999997
56,39,-1807.9370000000054
55,40,-1789.9400000000023
54,41,-626.2719999999972
53,42,-31.872000000003027
52,43,448.6450000000041
51,44,462.24099999999453
50,45,529.3840000000055
49,46,384.08699999999953
60,36,688.3179999999993
59,37,565.6489999999976
58,38,-358.24800000000687
57,39,-1679.9860000000044
56,40,-1528.8600000000006
55,41,-1112.8300000000017
54,42,-434.8889999999956
53,43,-371.64800000000105
52,44,509.61500000000524
51,45,412.2679999999964
50,46,546.5800000000017
49,47,278.3550000000105
61,36,1216.5009999999966
60,37,1020.8550000000032
59,38,329.32600000000093
58,39,-435.45500000000175
57,40,-1846.6929999999993
56,41,-1032.797000000006
55,42,-624.6999999999971
54,43,-264.4360000000015
53,44,-420.5639999999985
52,45,362.4360000000015
51,46,424.14800000000105
50,47,445.97299999999814
49,48,-34.02700000000186
61,37,880.8479999999981
60,38,997.6110000000044
59,39,481.25199999999313
58,40,-561.7569999999978
57,41,-934.6119999999937
56,42,-475.9799999999959
55,43,-132.21400000000722
54,44,-564.8709999999992
53,45,-115.21899999999732
52,46,469.0149999999994
51,47,483.5749999999971
50,48,413.5749999999971
62,37,1088.8499999999985
61,38,641.4729999999981
60,39,766.2700000000041
59,40,233.33000000000175
58,41,74.65600000000268
57,42,-360.10599999999977
56,43,-167.86900000000605
55,44,-625.3849999999948
54,45,-474.5219999999972
53,46,-302.8610000000044
52,47,427.5170000000071
51,48,538.8680000000022
63,37,1014.1160000000018
62,38,1102.4950000000026
61,39,568.7590000000055
60,40,867.2639999999956
59,41,28.754000000000815
58,42,-253.028999999995
57,43,-220.95100000000093
56,44,-227.39100000000326
55,45,-381.13000000000466
54,46,-502.67200000000594
53,47,122.03100000000268
52,48,705.4049999999988
51,49,961.8539999999994
50,50,351.85399999999936
64,37,1222.5829999999987
63,38,805.086000000003
62,39,755.2130000000034
61,40,729.0130000000063
60,41,508.51200000000244
59,42,190.04799999999523
58,43,-64.59299999999348
57,44,-308.11299999999756
56,45,-32.427999999999884
55,46,-522.1450000000041
54,47,-114.38400000000547
53,48,113.53399999999965
52,49,1185.099000000002
51,50,404.37599999999657
65,37,1277.688000000002
64,38,1170.6889999999985
63,39,567.3589999999967
62,40,948.573000000004
61,41,531.7350000000006
60,42,219.13400000000547
59,43,37.078999999997905
58,44,-416.4349999999977
57,45,126.68399999999383
56,46,-552.9630000000034
55,47,-126.70200000000477
54,48,-179.70200000000477
53,49,1015.1040000000066
52,50,1135.1039999999994
64,39,632.9660000000003
63,40,771.0069999999978
62,41,561.3329999999987
61,42,275.6689999999944
60,43,36.080000000001746
59,44,-147.16800000000512
58,45,38.294999999998254
57,46,-486.9799999999959
56,47,-222.70200000000477
55,48,-211.62600000000384
54,49,737.6030000000028
64,40,942.3399999999965
63,41,549.002999999997
62,42,346.25199999999313
61,43,121.03100000000268
60,44,-265.7630000000063
59,45,-139.34399999999732
58,46,-215.12300000000687
57,47,-216.47000000000116
56,48,-368.39100000000326
55,49,647.3249999999971
54,50,912.9429999999993
52,52,-266.8309999999983
65,40,821.7260000000024
64,41,564.4529999999941
63,42,19.211999999999534
62,43,-76.30299999999988
61,44,5.456999999994878
60,45,-211.27000000000407
59,46,-187.90499999999884
58,47,-210.84799999999814
57,48,-263.849000000002
56,49,399.4180000000051
55,50,801.9989999999962
54,51,-165.4910000000018
53,52,-581.5089999999982
65,41,437.3220000000001
64,42,101.99700000000303
63,43,13.747000000003027
62,44,-183.25299999999697
61,45,-42.65600000000268
60,46,-257.5430000000051
59,47,-302.3990000000049
58,48,-402.1530000000057
57,49,501.8500000000058
56,50,616.301999999996
55,51,-193.30100000000675
54,52,-689.7589999999982
66,41,646.195000000007
65,42,115.02499999999418
64,43,110.03299999999581
63,44,-52.56500000000233
62,45,-123.71099999999569
61,46,-282.653999999995
60,47,-336.6999999999971
59,48,-280.3249999999971
58,49,223.33299999999872
57,50,517.7609999999986
56,51,-303.24800000000687
67,41,834.8020000000033
66,42,370.70299999999406
65,43,107.16899999999441
64,44,-71.403999999995
63,45,-31.156000000002678
62,46,-364.2149999999965
61,47,-16.79200000000128
60,48,-412.4229999999952
59,49,340.17200000000594
58,50,130.05100000000675
57,51,-145.34100000000035
56,52,-691.6760000000068
54,54,-1482.3570000000036
68,41,1100.199999999997
67,42,450.7149999999965
66,43,317.17200000000594
65,44,41.544999999998254
64,45,-39.25100000000384
63,46,-66.48399999999674
62,47,-119.43099999999686
61,48,-224.33000000000175
60,49,110.47400000000198
59,50,249.82000000000698
58,51,-400.9860000000044
57,52,-545.3990000000049
56,53,-692.5049999999974
55,54,-1209.546000000002
69,41,1090.086000000003
68,42,804.1860000000015
67,43,135.4360000000015
66,44,27.370999999999185
65,45,51.3070000000007
64,46,-160.903999999995
63,47,2.694000000003143
62,48,-377.9689999999973
61,49,170.03100000000268
60,50,28.006999999997788
59,51,-109.74499999999534
58,52,-709.8209999999963
57,53,-687.8439999999973
56,54,-1052.6359999999986
69,42,1000.1869999999981
68,43,165.3249999999971
67,44,94.67500000000291
66,45,-73.87099999999919
65,46,84.1140000000014
64,47,-55.447000000000116
63,48,-352.247000000003
62,49,-12.05000000000291
61,50,151.4189999999944
60,51,-446.747000000003
59,52,-567.4869999999937
58,53,-613.7949999999983
69,43,321.0679999999993
68,44,-10.873000000006869
67,45,18.948000000003958
66,46,-141.0390000000043
65,47,66.27099999999336
64,48,-374.8570000000036
63,49,-30.12699999999313
62,50,-35.04899999999907
61,51,-288.97299999999814
60,52,-747.5179999999964
59,53,-123.33900000000722
58,54,-566.3479999999981
70,43,428.45100000000093
69,44,232.18399999999383
68,45,-96.94400000000314
67,46,189.5
66,47,-76.82499999999709
65,48,-303.2859999999928
64,49,62.87699999999313
63,50,-18.129000000000815
62,51,-456.96600000000035
61,52,-327.0369999999966
60,53,-229.5170000000071
59,54,-323.62599999999657
58,55,-274.53899999999703
71,43,539.7059999999983
70,44,288.7869999999966
69,45,29.72500000000582
68,46,109.653999999995
67,47,259.1889999999985
66,48,-344.93399999999383
65,49,80.1929999999993
64,50,-109.73500000000058
63,51,-346.61599999999453
62,52,-469.67600000000675
61,53,31.06500000000233
60,54,-555.8990000000049
59,55,-65.92799999999988
58,56,-645.4369999999981
71,44,424.7039999999979
70,45,70.7719999999972
69,46,314.1779999999999
68,47,117.41300000000047
67,48,-204.47999999999593
66,49,3.642999999996391
65,50,-333.846000000005
64,51,-553.4119999999966
63,52,-32.7670000000071
62,53,-227.80499999999302
61,54,-86.75699999999779
72,44,401.0829999999987
71,45,214.25800000000163
70,46,98.97400000000198
69,47,387.3359999999957
68,48,-312.4890000000014
67,49,60.24199999999837
66,50,-75.97900000000664
65,51,-282.0200000000041
64,52,-433.7930000000051
63,53,59.346000000005006
62,54,-306.87699999999313
73,44,670.1290000000008
72,45,123.24199999999837
71,46,226.11000000000058
70,47,78.08199999999488
69,48,-128.3969999999972
68,49,96.96499999999651
67,50,-157.74199999999837
66,51,-259.5639999999985
65,52,-85.5
64,53,-8.567999999999302
63,54,-5.346999999994296
62,55,-13.10099999999511
61,56,-217.90600000000268
73,45,423.1600000000035
72,46,31.6420000000071
71,47,-23.801999999996042
70,48,-451.6490000000049
69,49,301.82300000000396
68,50,-112.84299999999348
67,51,53.796000000002095
66,52,-380.75800000000163
65,53,318.94400000000314
64,54,-279.06699999999546
63,55,190.62300000000687
74,45,217.19799999999668
73,46,322.72299999999814
72,47,-235.75900000000547
71,48,-276.9389999999985
70,49,121.34200000000419
69,50,55.01499999999942
68,51,-25.539000000004307
67,52,87.46099999999569
66,53,-27.730999999999767
65,54,45.512000000002445
64,55,-75.06100000000151
63,56,-180.09599999999773
74,46,-99.60400000000664
73,47,-231.51200000000244
72,48,-487.36500000000524
71,49,292.25900000000547
70,50,2.2590000000054715
69,51,192.86699999999837
68,52,-182.1600000000035
67,53,352.8399999999965
66,54,-182.43399999999383
65,55,61.35099999999511
64,56,-248.6490000000049
76,45,339.8660000000018
75,46,207.66300000000047
74,47,-112.83100000000559
73,48,-463.83699999999953
72,49,155.40700000000652
71,50,93.37399999999616
70,51,150.84299999999348
69,52,106.88899999999558
68,53,-95.64900000000489
67,54,-50.99700000000303
66,55,177.6579999999958
65,56,-314.8469999999943
76,46,123.83099999999104
75,47,-26.118000000002212
74,48,-72.38400000000547
73,49,248.63899999999558
72,50,110.04700000000594
71,51,275.79499999999825
70,52,-213.28200000000652
69,53,140.71799999999348
68,54,-324.98799999999756
67,55,265.23099999999977
66,56,-208.95200000000477
77,46,330.2520000000004
76,47,1.418999999994412
75,48,65.81699999999546
74,49,40.96600000000035
73,50,115.31699999999546
72,51,107.11000000000058
71,52,-140.9780000000028
70,53,-152.58800000000338
69,54,-178.25800000000163
68,55,16.34299999999348
67,56,25.036999999996624
77,47,-9.951000000000931
76,48,-39.43600000000151
75,49,162.2219999999943
74,50,138.52499999999418
73,51,240.93099999999686
72,52,-174.1420000000071
71,53,-34.554999999993015
70,54,-497.40499999999884
69,55,38.94000000000233
68,56,-149.78599999999278
67,57,321.38300000000163
78,47,-59.93900000000576
77,48,61.91000000000349
76,49,-62.30800000000454
75,50,96.34299999999348
74,51,4.9060000000026776
73,52,-41.79399999999441
72,53,-286.0240000000049
71,54,-289.3610000000044
70,55,-199.74199999999837
69,56,101.02400000000489
68,57,170.50800000000163
78,48,204.27300000000105
77,49,-189.37699999999313
76,50,134.86500000000524
75,51,116.86500000000524
74,52,-54.16800000000512
73,53,-460.4959999999992
72,54,-346.3868700000021
71,55,-200.68300000000454
70,56,-199.91300000000047
69,57,336.5240000000049
68,58,-10.565000000002328
79,48,268.80100000000675
78,49,10.103000000002794
77,50,60.42200000000594
76,51,31.706000000005588
75,52,49.50299999999697
74,53,-623.2170000000042
73,54,-420.88300000000163
72,55,-240.02700000000186
71,56,-47.955000000001746
70,57,153.88400000000547
69,58,240.65600000000268
80,48,601.7550000000047
79,49,-300.11699999999837
78,50,48.570000000006985
77,51,110.14800000000105
76,52,16.206000000005588
75,53,-388.02999999999884
74,54,-580.5342700000037
73,55,-31.773000000001048
72,56,-299.1560000000027
71,57,284.5610000000015
70,58,-23.92500000000291
69,59,459.2360000000044
81,48,1097.8580000000002
80,49,145.11100000000442
79,50,-20.596999999994296
78,51,40.61599999999453
77,52,55.11599999999453
76,53,-287.17600000000675
75,54,-456.0697499999951
74,55,-339.0500000000029
73,56,-40.86599999999453
72,57,-153.54099999999744
71,58,92.49599999999919
70,59,366.43399999999383
82,48,1442.4029999999984
81,49,-106.52999999999884
80,50,17.78299999999581
