Z,A,Mass-Excess (MeV)
96,284,230.45
97,284,222.01
98,284,212.12
99,284,204.16
100,284,194.05
101,284,187.29
102,284,178.83
103,284,173.82
104,284,167.07
105,284,163.89
106,284,158.95
107,284,157.58
108,284,154.43
109,284,154.95
110,284,153.68
111,284,156.08
112,284,156.63
113,284,161.13
114,284,163.86
115,284,170.48
116,284,175.3
117,284,183.9
118,284,190.57
119,284,201.14
120,284,209.75
121,284,222.35
122,284,232.95
86,285,395.99
87,285,375.52
88,285,355.42
89,285,337.14
90,285,319.27
91,285,303.17
92,285,287.51
93,285,273.57
94,285,260.08
95,285,248.28
96,285,236.93
97,285,227.21
98,285,217.95
99,285,210.14
100,285,200.8
101,285,192.8
102,285,185.04
103,285,178.65
104,285,172.64
105,285,167.98
106,285,163.82
107,285,160.99
108,285,158.64
109,285,157.63
110,285,157.19
111,285,158.07
112,285,159.5
113,285,162.32
114,285,165.88
115,285,170.85
116,285,176.54
117,285,183.67
118,285,191.28
119,285,200.17
120,285,209.75
121,285,220.65
122,285,232.26
86,286,404.81
87,286,384.75
88,286,363.54
89,286,345.71
90,286,326.69
91,286,311.07
92,286,294.22
93,286,280.81
94,286,266.11
95,286,254.86
96,286,242.27
97,286,233.15
98,286,222.62
99,286,215.58
100,286,206.3
101,286,199.1
102,286,190.16
103,286,184.47
104,286,177.08
105,286,173.17
106,286,167.53
107,286,165.48
108,286,161.68
109,286,161.48
110,286,159.5
111,286,161.22
112,286,161.13
113,286,164.76
114,286,166.64
115,286,172.45
116,286,176.49
117,286,184.51
118,286,190.71
119,286,200.55
120,286,208.46
121,286,220.33
122,286,230.25
87,287,393.67
88,287,372.88
89,287,353.91
90,287,335.35
91,287,318.57
92,287,302.21
93,287,287.59
94,287,273.42
95,287,260.94
96,287,248.92
97,287,238.54
98,287,228.62
99,287,220.3
100,287,212.42
101,287,204.66
102,287,196.53
103,287,189.7
104,287,183.01
105,287,177.7
106,287,172.8
107,287,169.26
108,287,166.24
109,287,164.56
110,287,163.39
111,287,163.56
112,287,164.31
113,287,166.32
114,287,169.02
115,287,173.13
116,287,178.02
117,287,184.36
118,287,191.46
119,287,199.93
120,287,208.79
121,287,218.98
122,287,229.87
87,288,403.06
88,288,381.18
89,288,362.65
90,288,342.95
91,288,326.64
92,288,309.11
93,288,295.01
94,288,279.63
95,288,267.71
96,288,254.45
97,288,244.66
98,288,233.48
99,288,225.78
100,288,216.63
101,288,210.95
102,288,201.63
103,288,195.63
104,288,187.86
105,288,183.25
106,288,176.94
107,288,174.16
108,288,169.64
109,288,168.75
110,288,166.1
111,288,167.09
112,288,166.28
113,288,169.07
114,288,170.15
115,288,175.08
116,288,178.27
117,288,185.47
118,288,190.9
119,288,200.27
120,288,207.83
121,288,218.99
122,288,228.2
87,289,412.16
88,289,390.69
89,289,371.04
90,289,351.79
91,289,334.33
92,289,317.28
93,289,301.99
94,289,287.13
95,289,273.98
96,289,261.28
97,289,250.25
98,289,239.66
99,289,230.69
100,289,222.17
101,289,215.21
102,289,208.0
103,289,200.79
104,289,193.86
105,289,188.19
106,289,182.59
107,289,178.37
108,289,174.61
109,289,172.2
110,289,170.34
111,289,169.83
112,289,169.85
113,289,170.98
114,289,172.84
115,289,176.14
116,289,180.15
117,289,185.63
118,289,191.92
119,289,199.6
120,289,208.07
121,289,217.97
122,289,228.15
88,290,399.17
89,290,379.96
90,290,359.58
91,290,342.58
92,290,324.38
93,290,309.59
94,290,293.54
95,290,280.93
96,290,267.01
97,290,256.55
98,290,244.72
99,290,236.36
100,290,226.57
101,290,220.26
102,290,212.45
103,290,206.72
104,290,198.58
105,290,193.76
106,290,187.14
107,290,183.64
108,290,178.44
109,290,176.8
110,290,173.42
111,290,173.71
112,290,172.22
113,290,174.11
114,290,174.31
115,290,178.4
116,290,180.77
117,290,187.09
118,290,191.66
119,290,200.22
120,290,206.99
121,290,217.81
122,290,226.81
88,291,408.87
89,291,388.54
90,291,368.61
91,291,350.47
92,291,332.73
93,291,316.77
94,291,301.23
95,291,287.41
96,291,274.04
97,291,262.34
98,291,251.09
99,291,241.47
100,291,232.3
101,291,224.71
102,291,217.56
103,291,211.91
104,291,204.58
105,291,198.55
106,291,192.79
107,291,188.27
108,291,183.79
109,291,180.69
110,291,178.08
111,291,176.82
112,291,176.14
113,291,176.42
114,291,177.39
115,291,179.79
116,291,182.96
117,291,187.62
118,291,193.03
119,291,199.85
120,291,207.51
121,291,216.62
122,291,226.53
88,292,417.54
89,292,397.64
90,292,376.59
91,292,358.91
92,292,340.03
93,292,324.55
94,292,307.84
95,292,294.55
96,292,279.97
97,292,268.83
98,292,256.35
99,292,247.33
100,292,236.9
101,292,229.95
102,292,221.52
103,292,216.56
104,292,209.32
105,292,204.12
106,292,197.15
107,292,193.51
108,292,188.04
109,292,185.66
110,292,181.59
111,292,181.11
112,292,178.88
113,292,179.9
114,292,179.26
115,292,182.44
116,292,183.92
117,292,189.39
118,292,193.14
119,292,200.81
120,292,206.73
121,292,216.72
122,292,224.93
89,293,406.42
90,293,385.81
91,293,366.99
92,293,348.58
93,293,331.95
94,293,315.73
95,293,301.24
96,293,287.2
97,293,274.84
98,293,262.92
99,293,252.65
100,293,242.83
101,293,234.6
102,293,226.82
103,293,220.57
104,293,214.76
105,293,208.93
106,293,202.8
107,293,197.94
108,293,193.35
109,293,189.97
110,293,186.63
111,293,184.66
112,293,183.21
113,293,182.59
114,293,182.68
115,293,184.24
116,293,186.5
117,293,190.26
118,293,194.82
119,293,200.81
120,293,207.58
121,293,215.83
122,293,224.93
89,294,415.7
90,294,393.99
91,294,375.63
92,294,356.09
93,294,339.93
94,294,322.55
95,294,308.58
96,294,293.34
97,294,281.53
98,294,268.4
99,294,258.71
100,294,247.65
101,294,240.04
102,294,230.99
103,294,225.4
104,294,218.3
105,294,214.51
106,294,207.18
107,294,203.18
108,294,197.37
109,294,194.9
110,294,190.56
111,294,189.33
112,294,186.39
113,294,186.48
114,294,184.93
115,294,187.23
116,294,187.86
117,294,192.41
118,294,195.26
119,294,202.07
120,294,207.17
121,294,216.27
122,294,223.62
89,295,424.69
90,295,403.4
91,295,383.92
92,295,364.84
93,295,347.53
94,295,330.64
95,295,315.49
96,295,300.77
97,295,287.75
98,295,275.18
99,295,264.25
100,295,253.78
101,295,244.91
102,295,236.49
103,295,229.62
104,295,223.2
105,295,218.26
106,295,212.85
107,295,207.62
108,295,202.68
109,295,198.98
110,295,195.55
111,295,193.31
112,295,191.11
113,295,189.61
114,295,188.77
115,295,189.4
116,295,190.79
117,295,193.69
118,295,197.33
119,295,202.42
120,295,208.34
121,295,215.74
122,295,223.96
90,296,411.8
91,296,392.75
92,296,372.56
93,296,355.72
94,296,337.68
95,296,323.03
96,296,307.13
97,296,294.65
98,296,280.87
99,296,270.52
100,296,258.81
101,296,250.55
102,296,240.88
103,296,234.65
104,296,226.95
105,296,222.7
106,296,216.89
107,296,212.87
108,296,206.72
109,296,203.9
110,296,199.24
111,296,197.93
112,296,194.7
113,296,193.88
114,296,191.45
115,296,192.8
116,296,192.52
117,296,196.17
118,296,198.17
119,296,204.05
120,296,208.25
121,296,216.49
122,296,223.01
90,297,421.4
91,297,401.26
92,297,381.51
93,297,363.54
94,297,345.98
95,297,330.16
96,297,314.78
97,297,301.1
98,297,287.86
99,297,276.29
100,297,265.16
101,297,255.65
102,297,246.59
103,297,239.1
104,297,232.05
105,297,226.51
106,297,221.4
107,297,217.34
108,297,212.04
109,297,207.99
110,297,204.24
111,297,201.68
112,297,199.4
113,297,197.43
114,297,195.68
115,297,195.42
116,297,195.86
117,297,197.83
118,297,200.58
119,297,204.8
120,297,209.8
121,297,216.29
122,297,223.65
123,297,232.45
90,298,430.0
91,298,410.29
92,298,389.44
93,298,371.93
94,298,353.23
95,298,337.91
96,298,321.36
97,298,308.21
98,298,293.78
99,298,282.76
100,298,270.42
101,298,261.51
102,298,251.2
103,298,244.34
104,298,236.02
105,298,231.15
106,298,224.76
107,298,221.81
108,298,216.1
109,298,212.92
110,298,207.94
111,298,206.3
112,298,202.78
113,298,201.8
114,298,198.77
115,298,199.2
116,298,198.03
117,298,200.73
118,298,201.79
119,298,206.78
120,298,210.11
121,298,217.41
122,298,223.03
123,298,232.68
