N,Z,residual(keV)
32,20,-181.07200000000012
31,21,-68.65999999999622
30,22,249.30200000000332
29,23,-544.4320000000007
28,24,-158.50800000000163
27,25,-724.2870000000039
26,26,107.50499999999738
25,27,-578.7790000000023
24,28,-10.255999999997584
34,19,-461.1219999999994
33,20,-864.607
32,21,310.7450000000026
31,22,-1.1330000000016298
30,23,57.724999999998545
29,24,-527.7180000000008
28,25,-261.0500000000029
27,26,-58.983000000000175
26,27,47.424000000006345
25,28,-67.32700000000114
34,20,-289.487000000001
33,21,43.96600000000035
32,22,692.5880000000034
31,23,18.63300000000163
30,24,-146.87900000000081
29,25,-691.3470000000016
28,26,43.88500000000204
27,27,-27.667999999997846
26,28,259.78800000000047
35,20,-737.5750000000007
34,21,359.79199999999764
33,22,247.43100000000413
32,23,636.3640000000014
31,24,-92.02399999999761
30,25,-403.94200000000274
29,26,-419.2220000000016
28,27,-130.99599999999919
27,28,111.33899999999267
26,29,-298.7029999999977
36,20,-299.9899999999998
35,21,-24.848000000001775
34,22,570.304999999993
33,23,382.8989999999976
32,24,530.0720000000001
31,25,-441.46600000000035
30,26,-182.86299999999756
29,27,-555.0179999999964
28,28,107.55099999999948
27,29,-519.1330000000016
36,21,22.84700000000157
35,22,243.4519999999975
34,23,585.737000000001
33,24,463.4150000000009
32,25,167.82099999999627
31,26,-279.4170000000013
30,27,-114.55800000000454
29,28,-223.5610000000015
28,29,-210.21400000000722
37,21,-305.8689999999988
36,22,907.5319999999956
35,23,250.1160000000018
34,24,607.0920000000042
33,25,6.832000000002154
32,26,-81.97099999999773
31,27,-174.19200000000274
30,28,230.8289999999979
29,29,-236.6510000000053
28,30,246.72899999999936
38,21,-424.9499999999989
36,23,494.4830000000002
35,24,523.7690000000002
34,25,359.2719999999972
33,26,-118.15700000000652
32,27,84.76199999999517
31,28,165.46699999999691
30,29,31.64600000000064
29,30,152.0219999999972
38,22,203.60199999999895
37,23,244.59799999999814
36,24,97.80000000000291
35,25,20.453999999997905
34,26,197.62599999999657
33,27,-14.036999999996624
32,28,427.65699999999197
31,29,-316.0619999999981
30,30,548.4300000000003
38,23,-52.520999999997
37,24,164.19799999999668
36,25,39.970000000001164
35,26,155.49700000000303
34,27,116.32100000000355
33,28,259.97099999999773
32,29,43.13699999999517
31,30,217.09399999999732
30,31,148.53800000000774
39,23,-160.36399999999776
38,24,-173.81099999999424
37,25,-333.2649999999994
36,26,65.74300000000221
35,27,30.70100000000093
34,28,7.759999999994761
33,29,-219.34300000000076
32,30,251.31199999999808
31,31,-493.92199999999866
40,23,-281.0410000000011
39,24,-232.09900000000198
38,25,-302.86099999999715
37,26,-7.528999999994994
36,27,-104.15299999999843
35,28,-14.890999999995984
34,29,-268.86799999999494
33,30,194.07100000000355
32,31,221.40000000000146
31,32,293.77900000000227
40,24,-209.17800000000716
39,25,-161.34000000000378
38,26,-208.05200000000332
37,27,-309.94200000000274
36,28,-258.23399999999674
35,29,-446.91799999999057
34,30,127.08200000000943
33,31,-284.72699999999895
32,32,380.0970000000016
40,25,-301.5440000000017
39,26,-66.90200000000186
38,27,-21.80500000000029
37,28,-102.39600000000792
36,29,-654.8769999999931
35,30,214.77599999999802
34,31,14.814000000005763
33,32,346.77700000000186
32,33,43.04400000000169
41,25,-439.0919999999969
40,26,-123.14700000000448
39,27,53.45900000000256
38,28,-293.09300000000803
37,29,-584.7890000000043
36,30,-267.02900000000955
35,31,-195.42899999999645
34,32,155.45900000000256
33,33,-815.484000000004
41,26,103.1840000000011
40,27,344.81700000000274
39,28,-380.5880000000034
38,29,-650.3530000000028
37,30,-22.57600000000093
36,31,-463.85599999999977
35,32,288.0819999999949
34,33,312.7679999999964
33,34,194.40600000000268
41,27,543.0089999999982
40,28,102.47799999999552
39,29,-454.84300000000076
38,30,-283.85400000000664
37,31,-555.6540000000095
36,32,-263.39899999999034
35,33,82.97299999999814
34,34,190.1510000000053
42,27,-35.74700000000303
41,28,325.94399999999587
40,29,-205.32100000000355
39,30,-105.0060000000085
38,31,-583.5200000000186
37,32,51.42600000000675
36,33,64.11899999999878
35,34,554.3859999999986
34,35,392.12199999999575
43,27,242.237000000001
42,28,147.23199999999633
41,29,128.9190000000017
40,30,-36.34799999999814
39,31,-687.8499999999913
38,32,-329.3359999999957
37,33,128.92700000000332
36,34,186.5
35,35,-290.1270000000004
44,27,419.7700000000041
43,28,342.06400000000576
42,29,-275.83400000000256
41,30,17.514000000010128
40,31,-366.42699999999604
39,32,87.34299999999348
38,33,-21.45700000000943
37,34,640.7850000000035
36,35,364.87400000000343
35,36,-90.81100000000151
44,28,348.9320000000007
43,29,66.69399999999587
42,30,-496.99499999999534
41,31,-231.28399999999965
40,32,-170.61000000000058
39,33,161.29199999998673
38,34,187.41099999999278
37,35,326.6499999999942
36,36,-87.38199999999779
45,28,715.4409999999989
44,29,40.55500000000029
43,30,-192.11099999998987
42,31,-741.8429999999935
41,32,0.2679999999818392
40,33,139.44300000001385
39,34,615.5040000000008
38,35,445.5130000000063
37,36,411.0420000000013
36,37,25.289000000004307
45,29,141.78699999999662
44,30,-221.22000000000116
43,31,-567.8260000000009
42,32,-558.650999999998
41,33,191.9360000000015
40,34,130.0899999999965
39,35,322.53899999999703
38,36,196.05600000000413
37,37,-978.4159999999974
46,29,329.7810000000027
45,30,336.484000000004
44,31,-556.2390000000014
43,32,-532.1729999999952
42,33,-121.90299999999115
41,34,368.1109999999899
40,35,320.179999999993
39,36,83.0679999999993
38,37,-34.90200000000186
37,38,-579.101999999999
47,29,392.27300000000105
46,30,130.2760000000053
45,31,-163.74799999999232
44,32,-659.698000000004
43,33,-83.28399999999965
42,34,-26.15899999999965
41,35,123.62200000000303
40,36,85.89399999998568
39,37,-558.3890000000029
38,38,-146.94499999999243
48,29,531.1719999999987
47,30,330.79699999999866
46,31,-63.552000000010594
45,32,-223.77000000000407
44,33,-412.73399999999674
43,34,135.00299999999697
42,35,174.3819999999978
41,36,62.24899999999616
40,37,235.0
39,38,-266.1429999999964
49,29,735.2260000000024
48,30,402.8580000000002
47,31,-259.4850000000006
46,32,-215.85800000000745
45,33,-57.169999999998254
44,34,-249.95200000000477
43,35,247.9320000000007
42,36,-177.4829999999929
41,37,-94.22699999999895
40,38,324.25099999999657
50,29,506.3610000000044
49,30,545.898000000001
48,31,-108.65499999999884
47,32,-171.77999999998428
46,33,64.21899999999732
45,34,291.83400000000256
44,35,48.73300000000745
43,36,57.01000000000931
42,37,36.721999999994296
41,38,72.43599999999424
40,39,190.86500000000524
50,30,392.2810000000027
49,31,37.82499999999709
48,32,-338.3139999999985
47,33,54.39900000000489
46,34,241.0130000000063
45,35,392.77500000000873
44,36,-116.95500000000175
43,37,-85.27599999999802
42,38,-45.7670000000071
41,39,-452.5619999999981
51,30,408.6310000000012
50,31,-149.76199999999517
49,32,-159.09500000001572
48,33,-158.8139999999985
47,34,384.48099999999977
46,35,307.349000000002
45,36,397.7010000000155
44,37,180.49600000001374
43,38,336.4659999999858
42,39,-90.91899999999441
41,40,-77.71800000000076
52,30,645.0400000000009
51,31,-40.525000000001455
50,32,-293.7749999999942
49,33,-9.826999999990221
48,34,150.20500000000175
47,35,345.4229999999952
46,36,264.30490999999165
45,37,492.7869999999966
44,38,-114.36199999999371
43,39,-56.396999999997206
42,40,-80.76300000000629
52,31,267.0709999999963
51,32,-286.04200000000856
50,33,-388.8310000000056
49,34,298.85699999998906
48,35,65.47899999999208
47,36,615.0570000000007
46,37,616.2609999999986
45,38,430.58400000000256
44,39,340.2280000000028
43,40,273.041000000012
42,41,-215.01000000000204
53,31,38.96399999999994
52,32,4.265000000006694
51,33,-217.96800000000803
50,34,-310.43099999999686
49,35,80.5060000000085
48,36,227.35473000000638
47,37,473.0249999999942
46,38,244.61999999999534
45,39,503.9609999999957
44,40,18.20799999999872
43,41,-208.34199999999691
54,31,166.14100000000326
53,32,-167.72700000000623
52,33,111.74799999999959
51,34,-307.2450000000099
50,35,-409.5780000000086
49,36,262.15899999999965
48,37,437.1593500000017
47,38,569.8100000000122
46,39,497.1689999999944
45,40,314.903999999995
44,41,354.0160000000178
43,42,289.0400000000009
54,32,205.6730000000025
53,33,-45.25
52,34,61.02499999999418
51,35,-302.3610000000044
50,36,-324.2759299999889
49,37,-130.70300000000861
48,38,367.2002300000022
47,39,592.1000000000058
46,40,116.27700000000186
45,41,245.4389999999985
44,42,-107.8269999999975
54,33,233.58600000000297
53,34,-74.83300000001327
52,35,-21.28499999998894
51,36,-527.4309999999969
50,37,-415.2020000000048
49,38,357.3235699999932
48,39,365.01299999999173
47,40,425.3530000000028
46,41,371.3070000000007
45,42,325.88300000000163
44,43,365.84799999999814
54,34,227.09700000000157
53,35,-355.9670000000042
52,36,-300.69499999999243
51,37,-476.3040000000037
50,38,-200.7287600000127
49,39,254.37099999999919
48,40,418.22600000000966
47,41,279.2450000000099
46,42,186.54699999999139
45,43,265.79900000000634
55,34,9.802000000003318
54,35,-8.171000000002095
53,36,-580.9949999999953
52,37,-260.6990000000078
51,38,-386.82600000000093
50,39,-402.6020000000135
49,40,555.7259999999951
48,41,286.44499999999243
47,42,246.55599999999686
46,43,519.0429999999906
45,44,67.77599999999802
56,34,60.17700000000332
55,35,-62.505999999993946
54,36,-363.0590000000084
53,37,-647.573000000004
52,38,-72.64500000000407
51,39,-391.71199999999953
50,40,152.95299999999406
49,41,280.4689999999973
48,42,44.286000000007334
47,43,249.80400000000373
46,44,285.4990000000107
57,34,-264.1299999999974
56,35,-94.20100000000093
55,36,-503.17399999999907
54,37,-195.54899999999907
53,38,-460.4499999999971
52,39,-70.02099999999336
51,40,-4.19199999999546
50,41,-10.228000000017346
49,42,129.2659999999887
48,43,177.94299999998475
47,44,334.6670000000013
57,35,-50.611999999993714
56,36,-368.528999999995
55,37,-488.84999999999127
54,38,-113.57099999999627
53,39,-478.29400000000896
52,40,338.8759999999893
51,41,-113.48999999999069
50,42,-113.28699999999662
49,43,-46.40299999999115
48,44,215.9890000000014
47,45,142.00499999999738
46,46,420.90499999999884
58,35,-197.43500000000495
57,36,-501.60199999999895
56,37,-104.69999999999709
55,38,-348.9439999999886
54,39,-108.45500000000175
53,40,-123.62799999999697
52,41,221.6600000000035
51,42,-315.5789999999979
50,43,-253.31599999999162
49,44,144.77700000000186
48,45,368.09000000001106
47,46,652.7900000000009
58,36,-562.2799999999988
57,37,-119.89100000000326
56,38,4.179000000003725
55,39,-478.8729999999923
54,40,243.56800000001385
53,41,-13.463000000003376
52,42,-3.0789999999979045
51,43,-209.83199999999488
50,44,-183.40200000000186
49,45,-69.5230000000156
48,46,449.4189999999944
59,36,-84.72000000000116
58,37,-216.90700000000652
57,38,-212.583999999988
56,39,-10.237000000008265
55,40,-254.13999999999942
54,41,250.2280000000028
53,42,-242.57200000000012
52,43,66.64500000000407
51,44,-263.65899999999965
50,45,-257.11599999999453
49,46,260.2870000000112
60,36,418.4180000000051
59,37,13.748999999996158
58,38,-117.84800000001269
57,39,-377.7859999999928
56,40,14.339999999996508
55,41,-31.729999999995925
54,42,28.911000000007334
53,43,7.051999999996042
52,44,24.91500000000815
51,45,-159.2320000000036
50,46,-87.22000000000116
49,47,-3.5449999999982538
61,36,701.3009999999995
60,37,492.3550000000032
59,38,-198.67399999999907
58,39,-145.2549999999901
57,40,-639.0929999999935
56,41,186.80299999998533
55,42,-138.29999999998836
54,43,127.96400000000722
53,44,-115.76399999999558
52,45,79.33600000001024
51,46,-85.85199999999895
50,47,-236.4270000000106
49,48,-32.52700000000186
61,37,273.4479999999967
60,38,443.6110000000044
59,39,-102.84799999999814
58,40,-259.7569999999978
57,41,-169.41199999999662
56,42,92.41999999999825
55,43,111.68599999998696
54,44,-32.370999999999185
53,45,65.68099999999686
52,46,196.51499999999942
51,47,-181.52499999999418
50,48,-89.82500000001164
62,37,367.25
61,38,175.07300000000396
60,39,-28.929999999993015
59,40,-43.36999999999534
58,41,112.35599999999977
57,42,73.59399999999732
56,43,195.43099999999686
55,44,-169.68499999999767
54,45,60.778000000005704
53,46,73.03899999998976
52,47,168.71700000001874
51,48,11.468000000008033
63,37,282.8159999999989
62,38,530.195000000007
61,39,-132.24099999999453
60,40,78.56399999999849
59,41,152.35400000000664
58,42,-60.728999999992084
57,43,-69.85100000000966
56,44,-208.79099999999744
55,45,9.470000000001164
54,46,130.42799999999988
53,47,115.43099999999686
52,48,322.70500000000175
51,49,-204.0460000000021
50,50,-857.6460000000006
64,37,166.88299999999435
63,38,316.78600000000006
62,39,13.813000000009197
61,40,-167.3869999999879
60,41,166.6119999999937
59,42,285.0479999999952
58,43,-54.19299999998475
57,44,-134.31299999999464
56,45,11.171999999991385
55,46,73.7549999999901
54,47,226.2159999999858
53,48,229.03399999999965
52,49,193.29900000001362
51,50,-749.9239999999991
65,37,-170.81199999999808
64,38,511.8889999999956
63,39,-22.64100000000326
62,40,28.37300000000687
61,41,-172.9649999999965
60,42,106.03399999999965
59,43,90.278999999995
58,44,-295.13499999999476
57,45,121.78399999999965
56,46,154.33699999999953
55,47,120.79799999999523
54,48,331.2979999999952
53,49,170.70400000001246
52,50,-30.89600000000064
64,39,-25.934000000001106
63,40,24.506999999997788
62,41,-372.9670000000042
61,42,-82.93100000001141
60,43,107.58000000000175
59,44,-188.66800000000512
58,45,-8.104999999995925
57,46,162.82000000000698
56,47,297.89800000000105
55,48,285.57399999999325
54,49,387.3029999999999
64,40,157.3399999999965
63,41,-292.29700000000594
62,42,-244.8480000000127
61,43,113.53100000000268
60,44,-285.9630000000179
59,45,36.05600000001141
58,46,4.576999999990221
57,47,211.13000000000466
56,48,321.0089999999909
55,49,380.625
54,50,356.6429999999964
52,52,-209.43099999999686
65,40,-215.2739999999976
64,41,-232.04700000000594
63,42,-439.38799999999173
62,43,-287.1030000000028
61,44,-106.04300000000512
60,45,-211.77000000000407
59,46,103.49499999999534
58,47,244.95200000000477
57,48,341.4509999999864
56,49,452.3179999999993
55,50,431.79899999999907
54,51,117.60899999999674
53,52,-183.3090000000011
65,41,-444.2780000000057
64,42,-478.3029999999999
63,43,-301.0529999999999
62,44,-332.3530000000028
61,45,-12.755999999993946
60,46,-47.74300000000221
59,47,177.20100000000093
58,48,178.3469999999943
57,49,394.15000000000873
56,50,630.101999999999
55,51,-1.900999999998021
54,52,89.14100000000326
66,41,-566.7050000000017
65,42,-527.9750000000058
64,43,-351.56700000001
63,44,-288.26500000001397
62,45,-192.91099999999278
61,46,138.0460000000021
60,47,231.70000000001164
59,48,327.1750000000029
58,49,360.23300000000745
57,50,537.2609999999986
56,51,213.45199999999022
67,41,-425.8979999999938
66,42,-429.19700000001467
65,43,-474.93099999999686
64,44,-496.3040000000037
63,45,-103.85599999999977
62,46,-58.4149999999936
61,47,227.9079999999958
60,48,269.8770000000077
59,49,416.0720000000001
58,50,433.55100000000675
57,51,193.55900000000838
56,52,339.52399999999034
54,54,-689.0570000000007
68,41,-354.70000000000437
67,42,-199.68500000001222
66,43,-364.2280000000028
65,44,-436.054999999993
64,45,-330.05100000000675
63,46,236.11600000000908
62,47,103.06900000000314
61,48,365.2700000000041
60,49,429.87399999999616
59,50,591.4199999999983
58,51,163.8139999999985
57,52,395.20100000000093
56,53,247.89500000000407
55,54,-443.84599999999773
69,41,-476.51400000000285
68,42,-71.91400000000431
67,43,-264.8640000000014
66,44,-628.2289999999921
65,45,-355.8929999999964
64,46,-50.504000000000815
63,47,377.7939999999944
62,48,9.730999999999767
61,49,450.43099999999686
60,50,374.6070000000036
59,51,329.55500000000757
58,52,189.5789999999979
57,53,89.45599999999831
56,54,-0.5360000000000582
69,42,199.78699999999662
68,43,-67.875
67,44,-386.125
66,45,-566.0710000000108
65,46,195.51399999999558
64,47,228.55299999999988
63,48,133.55299999999988
62,49,207.0500000000029
61,50,424.8189999999886
60,51,141.55299999999988
59,52,297.61299999999756
58,53,155.50500000000466
69,43,96.96800000000803
68,44,-334.7730000000156
67,45,-532.851999999999
66,46,-215.83900000000722
65,47,432.87099999998463
64,48,29.44299999998475
63,49,160.17300000000978
62,50,45.25100000000384
61,51,123.42699999999604
60,52,98.38199999999779
59,53,61.7609999999986
58,54,-27.547999999995227
70,43,125.45100000000093
69,44,-63.81600000000617
68,45,-573.8439999999973
67,46,58.20000000001164
66,47,74.47499999999127
65,48,243.1140000000014
64,49,-12.0230000000156
63,50,17.971000000005006
62,51,-201.86599999999453
61,52,180.8630000000121
60,53,-60.11700000001292
59,54,-27.4259999999922
58,55,-33.638999999995576
71,43,87.00600000000122
70,44,-126.3130000000092
69,45,-354.47499999999127
68,46,-280.6460000000079
67,47,369.58899999999267
66,48,34.86600000000908
65,49,-61.50699999999779
64,50,-329.8350000000064
63,51,-33.91599999999744
62,52,-109.37600000000384
61,53,97.26499999999942
60,54,-290.9990000000107
59,55,-212.32800000000134
58,56,-289.33699999999226
71,44,-117.69599999999627
70,45,-440.3280000000086
69,46,70.07800000000861
68,47,9.713000000003376
67,48,263.22000000000116
66,49,-110.35700000000361
65,50,-386.5460000000021
64,51,-397.71199999999953
63,52,383.3329999999987
62,53,20.395000000004075
61,54,52.34300000000803
72,44,-423.5169999999998
71,45,-166.74199999999837
70,46,-72.82600000000093
69,47,400.1359999999986
68,48,11.111000000004424
67,49,85.84200000000419
66,50,-248.37900000000081
65,51,-89.41999999999825
64,52,22.3070000000007
63,53,198.74599999999919
62,54,-57.17699999999604
73,44,-376.77099999999336
72,45,-313.85800000000745
71,46,247.30999999999767
70,47,182.9820000000036
69,48,361.40299999999115
68,49,-80.53500000000349
67,50,-138.3420000000042
66,51,-112.06399999999849
65,52,277.3000000000029
64,53,189.03200000000652
63,54,212.8530000000028
62,55,-101.10099999999511
61,56,-474.0060000000012
73,45,-151.3399999999965
72,46,38.44200000001001
71,47,413.89800000000105
70,48,169.0509999999922
69,49,296.32300000000396
68,50,-380.94299999998475
67,51,147.19599999999627
66,52,-69.25800000000163
65,53,378.14400000000023
64,54,-53.66699999998673
63,55,6.222999999998137
74,45,-589.9020000000019
73,46,384.4230000000098
72,47,262.84100000000035
71,48,605.5610000000015
70,49,-15.55800000000454
69,50,-274.0850000000064
68,51,-172.7390000000014
67,52,165.5610000000015
66,53,14.868999999991502
65,54,119.41199999999662
64,55,-44.56100000000151
63,56,-442.89600000000064
74,46,-211.50400000000081
73,47,351.78800000000047
72,48,260.53499999998894
71,49,285.35899999999674
70,50,-673.1410000000033
69,51,-4.332999999998719
68,52,-137.75999999999476
67,53,373.5399999999936
66,54,-162.73399999999674
65,55,-83.74899999999616
64,56,-252.04899999999907
76,45,-596.8339999999953
75,46,113.76299999999173
74,47,93.16899999999441
73,48,396.66300000000047
72,49,-41.29299999999057
71,50,-404.22600000000966
70,51,-314.55700000001525
69,52,141.18899999998393
68,53,-116.74899999999616
67,54,-5.396999999997206
66,55,13.657999999995809
65,56,-359.8469999999943
76,46,-258.86900000000605
75,47,303.2820000000065
74,48,90.81599999999162
73,49,215.9389999999985
72,50,-651.2529999999824
71,51,-86.20500000000175
70,52,-77.88200000001234
69,53,75.61799999998766
68,54,-250.7879999999859
67,55,74.03100000000268
66,56,-248.45200000000477
77,46,-109.04799999999523
76,47,77.6189999999915
75,48,324.81699999999546
74,49,-136.13399999999092
73,50,-355.98300000000745
72,51,-461.2899999999936
71,52,95.92200000000594
70,53,-129.3880000000063
69,54,-54.75800000000163
68,55,-30.05700000001525
67,56,-52.062999999994645
77,47,124.74899999999616
76,48,-25.035999999992782
75,49,203.0219999999972
74,50,-614.7750000000087
73,51,-133.06900000000314
72,52,-204.8420000000042
71,53,81.34500000000116
70,54,-234.5049999999901
69,55,-74.55999999999767
68,56,-84.88599999998405
67,57,-121.31699999999546
78,47,-170.13899999999558
77,48,226.20999999999185
76,49,-137.90800000001036
75,50,-285.8570000000036
74,51,-573.9939999999915
73,52,-62.4939999999915
72,53,-234.72400000001653
71,54,-50.861000000004424
70,55,-79.34199999998964
69,56,62.22400000000198
68,57,-110.89199999999255
78,48,43.97299999999814
77,49,83.12300000000687
76,50,-517.6349999999948
75,51,-259.83499999999185
74,52,-359.7679999999964
73,53,-131.096000000005
72,54,-242.8868700000021
71,55,-20.08299999999872
70,56,-21.713000000003376
69,57,-79.27599999999802
68,58,-307.7649999999994
79,48,296.10100000000966
78,49,-32.79700000000594
77,50,-224.37799999999697
76,51,-622.2939999999944
75,52,-174.29700000000594
74,53,-440.2170000000042
73,54,-204.48300000000745
72,55,-25.727000000013504
71,56,250.04499999999825
70,57,-37.11599999999453
69,58,-160.14400000000023
80,48,313.25500000000466
79,49,169.68300000000454
78,50,-398.2299999999959
77,51,-287.5520000000106
76,52,-455.89400000000023
75,53,-275.7299999999959
74,54,-433.23427000000083
73,55,59.92699999999604
72,56,182.74400000000605
71,57,194.0610000000015
70,58,-227.02500000000873
69,59,-171.46399999999267
81,48,850.4579999999987
80,49,276.41100000000733
79,50,30.802999999999884
78,51,-568.8840000000055
77,52,-268.08400000000256
76,53,-602.6760000000068
75,54,-365.2697499999922
74,55,-127.35000000000582
73,56,310.23399999999674
72,57,77.85899999999674
71,58,-50.404000000009546
70,59,-15.76600000000326
82,48,523.4029999999984
81,49,385.7700000000041
80,50,-63.31700000001001
79,51,-33.387000000002445
78,52,-426.0599999999977
77,53,-293.88799999999173
76,54,-576.3739999999962
75,55,-104.85400000000664
74,56,48.62400000001071
73,57,119.4259999999922
72,58,-93.41300000000047
